Stadium,City,Country
Melbourne Cricket Ground,Melbourne,Australia
Jade Stadium,Christchurch,New Zealand
Civil Service Cricket Club,Belfast,Ireland
Maple Leaf North-West Ground,King City,Canada
New Wanderers Stadium,Johannesburg,South Africa
Eden Park,Auckland,New Zealand
The Rose Bowl,Southampton,England
Brisbane Cricket Ground,Brisbane,Australia
County Ground,Bristol,England
Khulna Divisional Stadium,Khulna,Bangladesh
Westpac Stadium,Wellington,New Zealand
Sydney Cricket Ground,Sydney,Australia
Kennington Oval,London,England
Gymkhana Club Ground,Nairobi,Kenya
Kingsmead,Durban,South Africa
AMI Stadium,Christchurch,New Zealand
Lord's,London,England
Newlands,Cape Town,South Africa
Brabourne Stadium,Mumbai,India
Western Australia Cricket Association Ground,Perth,Australia
St George's Park,Gqeberha,South Africa
National Stadium,Karachi,Pakistan
Old Trafford,Manchester,England
Kensington Oval,Bridgetown,West Indies
Seddon Park,Hamilton,New Zealand
R Premadasa Stadium,Colombo,Sri Lanka
Queen's Park Oval,Port of Spain,West Indies
SuperSport Park,Centurion,South Africa
Dubai International Cricket Stadium,Dubai,United Arab Emirates
Trent Bridge,Nottingham,England
Warner Park,Basseterre,West Indies
Vidarbha Cricket Association Stadium,Nagpur,India
Punjab Cricket Association Stadium,Chandigarh,India
Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates
P Sara Oval,Colombo,Sri Lanka
Sinhalese Sports Club Ground,Colombo,Sri Lanka
Bellerive Oval,Hobart,Australia
Providence Stadium,Providence,West Indies
Beausejour Stadium,Gros Islet,West Indies
Sir Vivian Richards Stadium,North Sound,West Indies
Central Broward Regional Park Stadium Turf Ground,Lauderhill,United States of America
Harare Sports Club,Harare,Zimbabwe
Edgbaston,Birmingham,England
Sophia Gardens,Cardiff,England
OUTsurance Oval,Bloemfontein,South Africa
De Beers Diamond Oval,Kimberley,South Africa
Moses Mabhida Stadium,Durban,South Africa
Adelaide Oval,Adelaide,Australia
Pallekele International Cricket Stadium,Kandy,Sri Lanka
Shere Bangla National Stadium,Dhaka,Bangladesh
Eden Gardens,Kolkata,India
Stadium Australia,Sydney,Australia
Mombasa Sports Club Ground,Mombasa,Kenya
ICC Global Cricket Academy,Dubai,United Arab Emirates
Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka
Sportpark Westvliet,The Hague,Netherlands
Riverside Ground,Chester-le-Street,England
MA Chidambaram Stadium,Chennai,India
Subrata Roy Sahara Stadium,Pune,India
Wankhede Stadium,Mumbai,India
Buffalo Park,East London,South Africa
M Chinnaswamy Stadium,Bengaluru,India
Sardar Patel Stadium,Ahmedabad,India
Sharjah Cricket Stadium,Sharjah,United Arab Emirates
Wanderers Cricket Ground,Windhoek,Namibia
Queens Sports Club,Bulawayo,Zimbabwe
Mannofield Park,Aberdeen,Scotland
Arnos Vale Ground,Kingstown,West Indies
Saurashtra Cricket Association Stadium,Rajkot,India
ICC Academy,Dubai,United Arab Emirates
Zahur Ahmed Chowdhury Stadium,Chattogram,Bangladesh
Sabina Park,Kingston,West Indies
Sylhet Stadium,Sylhet,Bangladesh
Windsor Park,Roseau,West Indies
Gaddafi Stadium,Lahore,Pakistan
Bready Cricket Club,Bready,Ireland
VRA Ground,Amstelveen,Netherlands
Hazelaarweg,Rotterdam,Netherlands
Grange Cricket Club Ground,Edinburgh,Scotland
The Village,Dublin,Ireland
Clontarf Cricket Club Ground,Dublin,Ireland
Himachal Pradesh Cricket Association Stadium,Dharamsala,India
Barabati Stadium,Cuttack,India
Bay Oval,Mount Maunganui,New Zealand
Sheikh Abu Naser Stadium,Khulna,Bangladesh
Mission Road Ground,Mong Kok,Hong Kong
Tony Ireland Stadium,Townsville,Australia
Maharashtra Cricket Association Stadium,Pune,India
JSCA International Stadium Complex,Ranchi,India
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India
Khan Shaheb Osman Ali Stadium,Fatullah,Bangladesh
Punjab Cricket Association IS Bindra Stadium,Chandigarh,India
Feroz Shah Kotla,Delhi,India
McLean Park,Napier,New Zealand
Green Park,Kanpur,India
Simonds Stadium,Geelong,Australia
Greater Noida Sports Complex Ground,Greater Noida,India
County Ground,Taunton,England
Barsapara Cricket Stadium,Guwahati,India
Mangaung Oval,Bloemfontein,South Africa
Senwes Park,Potchefstroom,South Africa
Greenfield International Stadium,Thiruvananthapuram,India
Holkar Cricket Stadium,Indore,India
Saxton Oval,Nelson,New Zealand
Sylhet International Cricket Stadium,Sylhet,Bangladesh
Rajiv Gandhi International Cricket Stadium,Dehra Dun,India
Sportpark Het Schootsveld,Deventer,Netherlands
Nursery Oval,Abu Dhabi,United Arab Emirates
Ekana International Cricket Stadium,Lucknow,India
Carrara Oval,Carrara,Australia
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Oman
Darren Sammy National Cricket Stadium,Gros Islet,West Indies
Amini Park,Port Moresby,Papua New Guinea
La Manga Club Bottom Ground,Murcia,Spain
Reforma Athletic Club,Naucalpan,Mexico
Royal Brussels Cricket Club Ground,Waterloo,Belgium
Kyambogo Cricket Oval,Kampala,Uganda
Lugogo Cricket Oval,Kampala,Uganda
Sportpark Maarschalkerweerd,Utrecht,Netherlands
College Field,St Peter Port,Guernsey
King George V Sports Ground,Castel,Guernsey
Kinrara Academy Oval,Kuala Lumpur,Malaysia
West End Park International Cricket Stadium,Doha,Qatar
Faleata Oval No 1,Apia,Samoa
Faleata Oval No 3,Apia,Samoa
Faleata Oval No 2,Apia,Samoa
Svanholm Park,Brondby,Denmark
Indian Association Ground,Singapore,Singapore
Kerava National Cricket Ground,Kerava,Finland
White Hill Field,Hamilton,Bermuda
United Cricket Club Ground,Windhoek,Namibia
National Stadium,Hamilton,Bermuda
National Sports Academy,Sofia,Bulgaria
Moara Vlasiei Cricket Ground,Ilfov County,Romania
El Cortijo Polo Club Pitch A Ground,Lima,Peru
El Cortijo Polo Club Pitch B Ground,Lima,Peru
Lima Cricket and Football Club,Lima,Peru
Marina Ground,Corfu,Greece
Marsa Sports Club,Marsa,Malta
ICC Academy Ground No 2,Dubai,United Arab Emirates
Sheikh Zayed Stadium Nursery 1,Abu Dhabi,United Arab Emirates
Hagley Oval,Christchurch,New Zealand
Arun Jaitley Stadium,Delhi,India
Manuka Oval,Canberra,Australia
Lilongwe Golf Club,Lilongwe,Malawi
Perth Stadium,Perth,Australia
Indian Sports Club,Blantyre,Malawi
Saint Andrews International High School,Blantyre,Malawi
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,India
Annadil Burhani Ground,Dar-es-Salaam,Tanzania
Tribhuvan University International Cricket Ground,Kirtipur,Nepal
Rajiv Gandhi International Stadium,Hyderabad,India
National Cricket Stadium,St George's,West Indies
Terdthai Cricket Ground,Bangkok,Thailand
Desert Springs Cricket Ground,Almeria,Spain
Pierre Werner Cricket Ground,Walferdange,Luxembourg
Rawalpindi Cricket Stadium,Rawalpindi,Pakistan
Boland Park,Paarl,South Africa
University Oval,Dunedin,New Zealand
Coolidge Cricket Ground,Coolidge,West Indies
Narendra Modi Stadium,Ahmedabad,India
Zayed Cricket Stadium,Abu Dhabi,United Arab Emirates
The Wanderers Stadium,Johannesburg,South Africa
Scott Page Field,Prague,Czech Republic
Daren Sammy National Cricket Stadium,Gros Islet,West Indies
Headingley,Leeds,England
Bayer Uerdingen Cricket Ground,Krefeld,Germany
Gahanga International Cricket Stadium,Kigali City,Rwanda
Gucherre Cricket Ground,Albergaria,Portugal
Castle Avenue,Dublin,Ireland
Entebbe Cricket Oval,Entebbe,Uganda
Happy Valley Ground,Episkopi,Cyprus
Gahanga International Cricket Stadium. Rwanda,Kigali City,Rwanda
Integrated Polytechnic Regional Centre,Kigali City,Rwanda
University of Lagos Cricket Oval,Lagos,Nigeria
Sawai Mansingh Stadium,Jaipur,India
Jimmy Powell Oval,George Town,Cayman Islands
Smith Road Oval,George Town,Cayman Islands
Seebarn Cricket Centre,Lower Austria,Austria
Meersen,Ghent,Belgium
UKM-YSD Cricket Oval,Bangi,Malaysia
Lisicji Jarak Cricket Ground,Belgrade,Serbia
Bulawayo Athletic Club,Bulawayo,Zimbabwe
Tikkurila Cricket Ground,Vantaa,Finland
Malkerns Country Club oval,Malkerns,Eswatini
Brian Lara Stadium,Tarouba,West Indies
Vanuatu Cricket Ground,Port Vila,Vanuatu
Willowmoore Park,Benoni,South Africa
Sano International Cricket Ground,Sano,Japan
GMHBA Stadium,Geelong,Australia
Udayana Cricket Ground,Bali,Indonesia
St Albans Club,Buenos Aires,Argentina
Belgrano Athletic Club Ground,Buenos Aires,Argentina
Hurlingham Club Ground,Buenos Aires,Argentina
Europa Sports Complex,Gibraltar,Gibraltar
Albert Park 1,Suva,Fiji
Albert Park 2,Suva,Fiji
John Davies Oval,Queenstown,New Zealand
Santarem Cricket Ground,Albergaria,Portugal
AZ Group Cricket Oval,Phnom Penh,Cambodia
Solvangs Park,Copenhagen,Denmark
Farmers Cricket Club Ground,St Martin,Jersey
King William's College,Castletown,Isle of Man
Goldenacre,Edinburgh,Scotland
Bayuemas Oval,Kuala Lumpur,Malaysia
GB Oval,Szodliget,Hungary
Malahide,Dublin,Ireland
Zhejiang University of Technology Cricket Field,Hangzhou,China
Tafawa Balewa Square Cricket Oval,Lagos,Nigeria
Mulpani Cricket Ground,Kathmandu,Nepal
St George's College Ground,Buenos Aires,Argentina
United Ground,Windhoek,Namibia
Shaheed Veer Narayan Singh International Stadium,Raipur,India
